"place","x","y"
"Ramkrishna Ray & Co",254.8767451,581.4089977
"Kuikota Water Tank",452.467491,638.848168
"Maa Lakshmi Variety",406.5161548,233.4917374
"Ranu Tea Stall",475.4431592,192.4637586
"Kuikota Market",746.5560431,230.2094991
"Hazra Medical Store",866.0295174,249.9029289
"Khana Asiana",856.8392501,399.2447718
"Alapon Shop",859.1368169,476.3773719
"Bijan Clinic",1013.073793,606.0257849
"Modak's Havelyy",891.3027523,609.3080232
"Apu Pan Stall",650.0582369,799.6778449
"Bangla Dishari",900.4930195,799.6778449
"Goldi Chicken",107.8324691,729.1097214
"Yava Apartment",96.34463502,629.0014531
"Cyber World",195.140008,281.0841928
"Apu Pan Stall",369.7550858,187.5404012
"Bangla Dishari",610.9996011,189.1815203
"NFC Brand & WISH World",1587.465497,504.2763975
"Ramdhanu Asian Paints",636.2728361,766.8554618
"Sonali Hindu Hotel",624.785002,451.7605846
"Treasure Music",96.34463502,366.0635079
"J.M.Bhandar",758.0438771,883.0160408
"Goldi Chicken",1215.259673,663.1060744
"Cyber World",1302.567212,213.4394267
"Apu Pan Stall",1477.18229,114.9722776
"Kuikota Market",45.79816514,774.0610576
"Hazra Medical Store",165.2716394,793.7544874
"Prince Medical Shop",142.2959713,506.5586358
"GD Electric Works",169.866773,321.1121716
"Kuikota Yuba Sangha",567.3458317,352.2934355
"Habu Auto Service",705.1998404,255.4674056
"Maa Lakshmi Variety",1304.864779,886.65716
"Ranu Tea Stall",1371.494216,843.988062
"Dey Enterprise",1360.006382,656.9004787
"Joyashree Enterprise",1339.328281,417.2970825
"Ganapati Electronics",1435.826087,267.9552396
"Kuikota Market",1635.7144,881.7338025
"J.M.Bhandar",801.6976466,194.1048778
"Hello Trust",702.9022736,546.9454955
"M/s. Ghosh Hardware",1419.743119,761.9321044
"Khan Interior",1348.518548,515.7642316
"Shakti Tea Stall",1408.255285,514.1231124
"Bishal Momo Dokan",1530.026326,489.5063251
"Ramdhanu Asian Paints",236.4962106,626.3603339
"Sonali Hindu Hotel",225.0083765,311.2654567
"NFC Brand & WISH World",1183.093738,367.0635079
"DJ Rahul Variety Shop",962.5273235,869.2459684
"Bishal Momo Dokan",135.4032708,180.1170437
"Yuger Pratik Club",190.5448744,664.2471936
"Dhanonjoy Mandal Sabji Shop",289.3402473,825.0768705
"Nilkanth Mahadev Mandir",475.4431592,839.8469428
"Santra Mashala Bhandar",473.1455923,744.662032
"De House",1362.303949,157.1413756
"Lakshminarayan Bhandar",15.92979657,428.7849165
"Dhanonjoy Mandal Sabji Shop",470.8480255,212.1571884
"Santra Mashala Bhandar",650.0582369,139.9479458
"Nilkanth Mahadev Mandir",656.9509374,226.9272608
"Sweets Garden",668.4387714,369.704627
"Ashirbad Xerox and Papers",762.6390108,497.7119209
"Basuri Engineering Works",673.0339051,505.9175167
"Maa Bhabatarini Automobiles",836.1611488,459.9661804
"Vivekananda Skill Developments",1709.236538,651.9771212
